v,vw,o,c,h,l,t,n,date
27613523.0,240.7679,243.51,241.22,243.74,239.03,1668747600000,265827,2022-11-18 05:00:00
26393200.0,242.283,241.43,242.05,244.67,241.19,1669006800000,270839,2022-11-21 05:00:00
19665699.0,243.6504,243.59,245.03,245.31,240.71,1669093200000,216514,2022-11-22 05:00:00
19508462.0,246.8767,245.105,247.58,248.28,244.27,1669179600000,229081,2022-11-23 05:00:00
9200772.0,247.6767,247.31,247.49,248.7,246.73,1669352400000,126714,2022-11-25 05:00:00
24810271.0,242.5337,246.08,241.76,246.65,240.8,1669611600000,273059,2022-11-28 05:00:00
17956313.0,240.2757,241.4,240.33,242.79,238.21,1669698000000,222057,2022-11-29 05:00:00
47594239.0,250.4124,240.57,255.14,255.33,239.86,1669784400000,448911,2022-11-30 05:00:00
26028524.0,254.3605,253.87,254.69,256.12,250.9156,1669870800000,352798,2022-12-01 05:00:00
21528520.0,253.1141,249.82,255.02,256.06,249.69,1669957200000,278398,2022-12-02 05:00:00
23435294.0,250.6795,252.01,250.2,253.819,248.06,1670216400000,276722,2022-12-05 05:00:00
22463727.0,246.1697,250.82,245.12,251.86,243.78,1670302800000,274238,2022-12-06 05:00:00
20479222.0,244.4617,244.83,244.37,246.16,242.205,1670389200000,226749,2022-12-07 05:00:00
22611757.0,246.7518,244.84,247.4,248.74,243.06,1670475600000,248284,2022-12-08 05:00:00
20609743.0,246.2204,244.695,245.42,248.31,244.16,1670562000000,238476,2022-12-09 05:00:00
30665069.0,250.9043,247.445,252.51,252.54,247.17,1670821200000,325566,2022-12-12 05:00:00
42192634.0,258.0996,261.69,256.92,263.915,253.07,1670907600000,486403,2022-12-13 05:00:00
35376633.0,258.7836,257.13,257.22,262.588,254.31,1670994000000,458426,2022-12-14 05:00:00
35568093.0,249.5733,253.72,249.01,254.2,247.34,1671080400000,380775,2022-12-15 05:00:00
86101994.0,245.2971,248.55,244.69,249.84,243.51,1671166800000,388901,2022-12-16 05:00:00
29696436.0,240.6751,244.86,240.45,245.21,238.71,1671426000000,333301,2022-12-19 05:00:00
25115802.0,241.363,239.4,241.8,242.91,238.42,1671512400000,255790,2022-12-20 05:00:00
23690607.0,244.0321,241.69,244.43,245.615,240.11,1671598800000,249789,2022-12-21 05:00:00
28651664.0,237.1404,241.255,238.19,241.99,233.87,1671685200000,349537,2022-12-22 05:00:00
21206982.0,237.2671,236.11,238.73,238.87,233.9428,1671771600000,258172,2022-12-23 05:00:00
16688648.0,237.264,238.7,236.96,238.93,235.83,1672117200000,226696,2022-12-27 05:00:00
17457104.0,236.25,236.89,234.53,239.72,234.17,1672203600000,215793,2022-12-28 05:00:00
19770693.0,240.1837,235.65,241.01,241.92,235.65,1672290000000,224833,2022-12-29 05:00:00
21938472.0,238.6986,238.21,239.82,239.96,236.66,1672376400000,244268,2022-12-30 05:00:00
25740036.0,239.8394,243.08,239.58,245.75,237.4,1672722000000,314904,2023-01-03 05:00:00
50623394.0,228.5518,232.275,229.1,232.87,225.96,1672808400000,679231,2023-01-04 05:00:00
39577823.0,223.604,227.2,222.31,227.55,221.7602,1672894800000,471302,2023-01-05 05:00:00
43613574.0,223.3788,223.0,224.93,225.7601,219.35,1672981200000,495762,2023-01-06 05:00:00
27369784.0,228.5989,226.45,227.12,231.2366,226.41,1673240400000,363680,2023-01-09 05:00:00
27033881.0,228.7878,227.755,228.85,231.31,227.33,1673326800000,334659,2023-01-10 05:00:00
28633081.0,233.9843,231.29,235.77,235.95,231.11,1673413200000,340052,2023-01-11 05:00:00
27269486.0,237.813,235.26,238.51,239.9,233.56,1673499600000,400489,2023-01-12 05:00:00
21333265.0,237.4748,237.002,239.23,239.37,234.92,1673586000000,300118,2023-01-13 05:00:00
29831257.0,239.6706,237.97,240.35,240.91,237.09,1673931600000,370168,2023-01-17 05:00:00
30028692.0,237.875,241.565,235.81,242.38,235.52,1674018000000,377927,2023-01-18 05:00:00
28592433.0,232.5374,233.78,231.93,235.52,230.68,1674104400000,362262,2023-01-19 05:00:00
35249809.0,238.2032,234.855,240.22,240.74,234.51,1674190800000,364051,2023-01-20 05:00:00
31933951.0,242.7509,241.1,242.58,245.165,239.65,1674450000000,413335,2023-01-23 05:00:00
40218444.0,243.7867,242.5,242.04,243.95,240.44,1674536400000,512442,2023-01-24 05:00:00
66526641.0,237.4755,234.48,240.61,243.3,230.9,1674622800000,745426,2023-01-25 05:00:00
33454491.0,245.411,243.65,248.0,248.31,242.0,1674709200000,401891,2023-01-26 05:00:00
26498939.0,248.3935,248.99,248.16,249.83,246.83,1674795600000,336282,2023-01-27 05:00:00
25867365.0,243.2164,244.51,242.71,245.6,242.2,1675054800000,308895,2023-01-30 05:00:00
26541072.0,246.5374,243.45,247.81,247.95,242.945,1675141200000,256082,2023-01-31 05:00:00
31259912.0,250.3172,248.0,252.75,255.18,245.47,1675227600000,386960,2023-02-01 05:00:00
39931837.0,261.6241,258.82,264.6,264.69,257.25,1675314000000,533818,2023-02-02 05:00:00
29059256.0,259.9308,259.542,258.35,264.2,257.1,1675400400000,408058,2023-02-03 05:00:00
22517997.0,256.76,257.44,256.77,258.3,254.78,1675659600000,276674,2023-02-06 05:00:00
50841365.0,264.6898,260.53,267.56,268.775,260.08,1675746000000,618791,2023-02-07 05:00:00
54674349.0,270.3434,273.2,266.73,276.76,266.21,1675832400000,659530,2023-02-08 05:00:00
42375102.0,267.304,273.8,263.62,273.98,262.8,1675918800000,472027,2023-02-09 05:00:00
25808489.0,262.4025,261.53,263.1,264.09,260.662,1676005200000,334145,2023-02-10 05:00:00
44614921.0,271.4438,267.64,271.32,274.6,267.15,1676264400000,499425,2023-02-13 05:00:00
37047924.0,272.0367,272.67,272.17,274.97,269.28,1676350800000,471699,2023-02-14 05:00:00
28962163.0,268.4251,268.32,269.32,270.73,266.18,1676437200000,370701,2023-02-15 05:00:00
29529391.0,264.1021,264.02,262.15,266.74,261.9,1676523600000,389910,2023-02-16 05:00:00
29998205.0,257.6854,259.39,258.06,260.09,256.0,1676610000000,392723,2023-02-17 05:00:00
28372844.0,253.0254,254.48,252.67,255.49,251.59,1676955600000,341324,2023-02-21 05:00:00
22491056.0,252.2065,254.09,251.51,254.34,250.34,1677042000000,276380,2023-02-22 05:00:00
29219095.0,253.9406,255.56,254.77,256.84,250.48,1677128400000,366248,2023-02-23 05:00:00
24860205.0,249.4099,249.96,249.22,251.0,248.1,1677214800000,339809,2023-02-24 05:00:00
21184867.0,250.4964,252.46,250.16,252.82,249.39,1677474000000,267766,2023-02-27 05:00:00
22490950.0,249.7791,249.07,249.42,251.49,248.73,1677560400000,250572,2023-02-28 05:00:00
27530059.0,247.4368,250.76,246.27,250.93,245.79,1677646800000,331723,2023-03-01 05:00:00
24795896.0,248.8533,246.55,251.11,251.4,245.61,1677733200000,317083,2023-03-02 05:00:00
30760136.0,254.6492,252.19,255.29,255.62,251.39,1677819600000,326868,2023-03-03 05:00:00
24099799.0,257.791,256.425,256.87,260.12,255.98,1678078800000,304174,2023-03-06 05:00:00
21473179.0,254.9132,256.3,254.15,257.69,253.39,1678165200000,331543,2023-03-07 05:00:00
17281277.0,252.804,254.04,253.7,254.5417,250.81,1678251600000,266009,2023-03-08 05:00:00
26652187.0,255.2369,255.82,252.32,259.56,251.58,1678338000000,379554,2023-03-09 05:00:00
28273930.0,249.6614,251.08,248.59,252.79,247.6,1678424400000,412570,2023-03-10 05:00:00
